"text","party","year"
"1918 Conservative Party General Election Manifesto
The Manifesto of Lloyd George and Bonar Law

The Coalition Government, supported by the strenuous and united labours of the whole nation, has now accomplished the gravest portion of its task. Our enemies have been defeated in the field, their armies are broke, and their Governments are over-turned. Thanks to the patient valour of the hosts of freedom, the knell of military autocracy has sounded forever in the Continent of Europe. Other tasks directly arising out of the war now await our nation, and can only be surmounted by the good sense, the patriotism, and the forbearance of our people. The unity of the nation which has the patriotism, and the forbearance of our people. The unity of the nation which has been the great secret of our strength in war must not be relaxed if the many anxious problems which the war has bequeathed to us are to be handled with the insight, courage, and prompritude which the times demand.

As a preliminary to the soltuion of these problems it is essential that a fresh Parliament should be summoned, possessed of the authority with a General Election alone can give it, to make the peace of Europe and to deal with the difficult transitional period which will follow the cessation of hostilities. Indeed, the present Parliament has long outstayed its appointed term, and meanwhile millions of new voters, including for the first time representatives of the womanhood of the country, have been added to the electorate. It is right that the Government, upon whom it devolves in conjunction with our Dominions and our allies to settle the political future of Europe, should be supported by the confidence of the vast body of newly enfranchised citizens.

We appeal, then, to every section of the electorate, without distinction of party, to support the Coalition Government in the execution of a policy devised in the interests of no particular class or section, but, so far as our light serves us, for the furtherance of the general good. Our first task must be to conclude a just and lasting peace, and so to establish the foundations of a new Europe that occasion for further wars may be for ever averted. The brilliant and conclusive triumph of the Allied Armies will, we hope, render it possible to reduce the burden of our armaments and to release by successive and progressive stages the labour and capital of the Empire for the arts of peace. To avert a repetition of the horrors of war, which are aggravated by the onward march of science, it will be the earnest endeavour of the Coalition Government to promote the formatino of a League of Nations, which may serve not only to ensure society against the calamitous results of militarism but to further a fruitful mutual understanding between the associated peoples. Never have the men and women of our race played so great and commanding a part in the affairs of the whole world as during the tempests and trials of this great war, and ever has the British name been so widely honoured.

The care of the soldiers and sailors, officers and men, whose heroism has won for us this great deliverance, and who return to civil life, is a primary obligation of patriotism, and the Government will endeavour to assist such members of the armed forces of the Crown as may desire to avail themselves of facilities for special industrial training and to return to civil life under conditions worthy of their services to the country. Plans have been prepared, and will be put into execution as soon as the new Parliament assembles, whereby it will be the duty of public authorities and, if necessary, of the State itself to acquire land on simple and economical basis for men who have served in the war, either for cottages with gardens, allotments, or small holdings as the applicants may desire and be suited for, with frants provided to assist in training and initial equipment. In addition to this, we intend to secure and to promote the further development and cultivation of allotments and small holdings generally so far as may be required in the public interest.

Increased production must necessarily be the basis of all schemes for the improvement the conditions of the people. The war has revealed the extent to which the resources of the country have been dissipated and depressed by lack of organisation or by wasteful organisation. It has been demonstrated that the land of the country, if properly cultivated and used, could have yielded food and other products of the soil to a much larger extent. It must be among the first tasks of the new Government to repair this error, which added so much to our difficulties in our struggles against the submarines of the enemy.

The war has given fresh impetus to agriculture. This must not be allowed to expire. Scientific farming must be promoted, and the Government regard the maintenance of a satisfactory agricultural wage, the improvement of village life, and the development of rural industries as essential parts of an agricultural policy. Arrangements have been made whereby extensive afforestation and reclamation schemes may be entered upon without delay. A systematic improvement in the transport facilities of the resources of the soil, and the Government are preparing plans with a view to increasing these facilities on a large scale.

The principal concern of every Government is the must be the condition of the great mass of the people who live by manual toil. The steadfast spirit of our workers, displayed on all the wide field of action opened out by the war - in the trenches, on the ocean, in the air, in field, mine, and factory - has left an imperishable mark on the heart and conscience of the nation. One of the first tasks of the Government will be to deal on broad and comprehensive lines with the housing of the people, which during the war has fallen so sadly into arrears, and upon which the well-being of the nation so largely depends. Larger opportunities for education, improved material conditions, and the prevention of degrading stndards of employment; a proper adaption to peace conditions of the experience which during the war we have gained in regard to the traffic in drink - these are among the conditions of social harmony which we shall earnestly endeavour to promote. It will be the fundamental object of the Coalition to promote the unity and development of our Empire and of the nations of which it is composed, to preserve for them the position and influence and authority which they have gained by their sacrifices and efforts in the cause of human liberty and progress, and to bring into being such conditions of living for the inhabitants of the British Isles as will secure plenty and opportunity to all.

Until the country has returned to normal industrial conditions it would be premature to prescribe a fiscal policy intended for permanence. We must endeavour to reduce the war debt in such a manner as may inflict the least injury to industry and credit. The country will need all the food, all the raw material, and all the creidt which it can obtain, and fresh taxes ought not to be imposed on food or upon the raw materials of our industry. At the same time a preference will be given to our Colonies upon existing duties and upon any duties which, for our own purpose, may be subsequently imposed. One of the lessons which has been most clearly taught us by the war is the danger to the nation of being dependent upon other countries for vital supplies on which the life of the nation may depend. It is the intention therefore of the Government to preserve and maintain where necessary these key industries in the way which experience and examinatino may prove to be best adapted for the purpose. If production is to be maintained at the highest limit at home, security must be given against the unfair competitino to which our industries may be subjected by the dumping of goods produced abroad and sold on our market below the actual cost of production. The military institutions of the country must necessarily be dependent upon the needs of the Empire and the prospective requirements of any League for the preservation of peace to which this country may hereafter be a party. Meanwhile it will be the aim of the Government to carry through the inevitable reductions in our military and naval establishments with the least possible suffering to individuals and to the best advantage of industry and trade.

Active measures will be needed to secure employment for the workers of the country. Industry will rightly claim to be liberated at the earliest possible moment from Government control. By the development and control in the best interest of the State of the economical production of power and light, of the railways and the means of communication, by the improvement of the Consular Service, and by the establishment of regular machinery for consultation with representative trade and industrial organisations on matters affecting their interest and prosperity, output will be increased, new markets opened out, and great economies effected in industrial production.

It will be the duty of the new Government to remove all existing inequalities of the law as between men and women.

It has been recognised by all parties that reform is urgently required in the constitution of the House of Lords, and it will be one of the objects of the Government to create a Second Chamber which will be based upon direct contract with the people, and will therefore be representative enough adequately to perform its functions.

The people of this country are not unmindful of the conspicuous services rendered by the Princes and people of India to the common cause of civilisation during the war. The Cabinet has already defined in unmistakeable language the goal of British policy in India to the development of responsible government by gradual stages. To the general terms of that declaration we adhere and propose to give effect.

Ireland is unhappily rent by contending forces, and the main body of Irish opinion has seldom been more inflamed or less disposed to compromise than it is at the present moment. So long as the Irish question remains unsettled there can be no political peace either in the United Kingdom or in the Empire, and we regard it as one of the first obligations of British statesmanship to explore all practical paths towards the settlement of this grave and difficult question on the basis of self-government. But there are two paths which are closed - the one leading to a complete severance of Ireland from the British Empire, and the other to the forcible submission of the six counties of Ulster to a Home Rule Parliament against their will. In imposing these two limitations we are only acting in accordance with the declared views of all English political leaders.

It is a source of pride to be of this age, and to be members of this nation. In the whole course of the world's history no generation has been compelled to face sacrifices such as we have steadfastly endured, or perils such as we have victoriously confronted. Well and truly have rich and poor, castle and cottage, stood the ordeal of fire. Right earnestly do we trust that the united temper, the quiet fortitude, the high and resolute patriotism of our nation may be long preserved into the golden times of peace.","Con",1918
"1922 Conservative Party General Election Manifesto
Andrew Bonar Law's Election Address

His Majesty has been graciously pleased to appoint me First Minister of the Crown. I appeal to you to renew your confidence in myself as your representative, and to give your support to the new Government of which I am the head. The crisis which has arisen so suddenly has made it absolutely necessary that an immediate appeal should be made to the people, and in consequence it has been impossible to have an examination with my colleagues into the many questions with which we have to deal. Of necessity, therefore, the outlines of policy which I now submit to you cannot be as definite and precide as in other circumstances would have been possible.

The crying need of the nation at this moment - a need which in my judgement far exceeds any other - is that we should have tranquility and stability both at home and abroad so that free scope should be given to the initative and enterprise of our citizens, for it is in that way far more than by any action of the Government that we can hope to recover from the economic and social results of the war.

With this in view I think it is of the utmost importance that we should return as quickly as possible, to the normal procedure which existed before the war. In pursuance of this aim I am satisfied that the time has now come when a change should be made in the machinery of the central Government. Some of the work which has hitherto been done by the Cabinet Secretariat is essential and must be continued, but we intend to bring that body in its present form to an end, and I am certain that the necessary work can be continued, and the invaluable services of the present Secretary retained, in connection with the Treasury, which in the past has always been the central department of Government. As an illustration of the changes which we contemplate, instructions have been already given to transfer to the Foreign Office the machinery of the League of Nations, and in the same way to arrange, as regards any future International Conferences, that even where it is necessary that I as Prime Minister should be present, the machinery of the Conferences and the preliminary work in connection with them will be performed not by the Cabinet Secretariat but by the Foreign Office itself.

At the present moment the first foreign interest not alone of Great Britain and of the British Empire, but of the world, is the re-establishment of peace. In all our foreign relations we intend to pursue an even course, loyally fulfilling the obligations we have undertaken, but resolutely determined not to extend our commitments, and should reasonable occasion arise to curtail them. It was by wholehearted co-operation, often under great difficulty, and with great differences of opinion, that we won the war. It is only by the same frank and full co-operation, conducted in the same spirit, with France and our other great Allies, that we can hope to solve the difficult problems with which we are not confronted. It is my confident hope that under the well-tried guidance of the Secretary of State for Foreign Affairs the negotiations for the settlement of the Near Eastern crisis will result in a true and lasting peace, conducing both to the political tranquillity of the Near and Middle East, with which so many of our Imperial interests are bound up, and to the personal security and happiness of the inhabitants of all races and creeds in the regions which have been the scene of so much disturbance and suffering.

During the war the feeling supreme in the minds of men and women throughout the world was that a similar calamity should never again be allowed to fall upon mankind. It was to meet this feeling that the League of Nations was instituted, and it will be our earnest aim to give it wholehearted and practical support. The maintenance of our friendship and good understanding with the United States, based not on any formal friendship and good understanding with the United States, beased not on any formal friendship and good understanding with the United States, beased not on any formal alliance but on community of inherited ideals as well as on recent comradeship in arms, must always be a princial aim of British policy. Above all, we mean, in all matters affecting the external policy or security of the Empire, to act in close and continuous consultation with the Governments of the Dominions and of India in order to ensure that our policy shall keep fully in view both the interests and sentiments of our fellow subjects overseas, and at all times have behind it the moral support of the whole British Commonwealth.

Our first task, if returned to power, will be the ratification of the Irish Treaty. We are prepared to take our part in making good that Treaty, both in the letter and in the spirit, and to co-operate with the Irish Government in the new relationship within the Empire which the Treaty will have created. We are equally pledged to safeguard the freedom of choice and the security of the Parliament and Government of Northern Ireland. We earnestly hope that further progress will be made in dealing with the anarchy in the South, and that both in the North and in the South it will be realised that the prosperity of Ireland as a whole can only be achieved by good will between the Governments and peoples of the two portions of that country. The position of the innocent victims of recent disturbances is a matter of the gravest concern to the people of this country, and it will be the duty of the Government to keep in the closest touch with the Government of the Irish Free State on this matter, so that just claims for compensation may have sympathetic consideration.

We desire to promote the quiet and orderly development of India under the constitution which was conferred on her by the Act of 1919. The co-operation of all classes and sections is essential to the progress and prosperity of India, and, if that be secured, we can look forward with confidence to an industrial development which will add to her resources and give increased stability to her economic structure.

At home our chief preoccupation at this time is the state of trade and employment. The immediate problem of unemployment this winter will call for emergency measures. Plans for dealing with the situation have already been considered by the late Government. They will be examined afresh by us with a view of seeing whether any improvements are possible, and the necessary steps will then be taken with the least avoidable delay. Such remedies, however, can only be palliatives, and the real recovery will not come except from the revival of trade and industry. To secure this result, the first eessential is to reduce expenditure to the lowest attainable level in the hope that the taxpayer may find some relief from the burden fo taxation which not only presses so heavily upon individuals, but is the greatest clog upon the wheels of national industry.

Every Candidate, in every constituency, will, as I do, make retrenchment an essential part of his programme. All that I can possibly say, knowing how great are the difficulties, is that we should do our best to secure it. It will also be our endeavour in any way in our power to help trade, and the method of doing this, which seems to me most helpful, is the development of trade within the Empire itself. The markets, which for the time at least, as a consequence of the war, we have lost in Europe, can best be replaced by further development of trade with overseas countries, and especially of trade within the British Empire. We propose, therefore, immediately to consult the Governments of the self-governing Dominions and, if they approve, to summon, as early as possible, an Economic Conference with the view of finding in what way by mutual co-operation we can best develop the vast trade of which, in my opinion, the resources of the Empire admit.

There is one branch of industry to which I must specially refer. As a consequence of the war, agriculture, the greatest of our national industries, is in a most serious condition, and demands the practical sympathy of the Government. It is not easy to specify the exact method by which that sympathy can be shown, but we shall immediately examine the whole problem afresh in the hope of making proposals which will assist the agricultural community to overcome the difficulties that now confront them.

There are many measures of legislative and administrative importance which, in themselves, would be desirable, and which, in other electorate. But I do not feel that they can, at this moment, claim precedence over the nation's first need, which is, in every walk of life, to get on with its work with the minimum of interference at home and of disturbance abroad.
Conservative Party Manifestos
","Con",1922
"1923 Conservative Party General Election Manifesto
Stanley Baldwin's Election Address

In submitting myself to you for re-election, I propose frankly to put before you the present situation as I see it, and the measures which in the opinion of myself and my colleagues are necessary adequately to deal with it.

   1. The unemployment and under-employment which our working people and our great national industries are now facing for the fourth winter in succession, on a scale unparalleled in our history, having created a problem which calls urgently for a solution. Their indefinite continuance threatens to impair permanently the trained skill and the independent spirit of our workers, to disorganise the whole fabric of industry and credit, and, by eating away the sources of revenue, to undermine the very foundations of our national and municipal life.
   2. In large measure this state of affairs is due to the political and economic disorganisation of Europe consequent on the Great War. In accordance with the policy affirmed by the Imperial Conference we shall continue to devote every effort through the League of Nations and by every other practical means, to the restoration of a true peace in Europe. But that at the best must take time. A year ago Mr Bonar Law could still hope that a more settled condition of affairs was in prospect, absence of any modification of fiscal policy, of the ultimate necessity of which he himself was always convinced. Since the occupation of the Ruhr it has become evident that we are confronted by a situation which, even if it does not become worse, is not likely to be normal for years to come.
   3. The disorganisation and poverty of Europe, accompanied by broken exchanges and by higher tariffs all the world over, have directly and indirectly narrowed the whole field of our foreign trade. In our own home market the bounty given to the importation of foreign goods by depreciated currencies, and by the reduced standard of living in many European countries, has exposed us to a competition which is essentially unfair and is paralysing enterprise and initiative. It is under such conditions that we have to find work for a population which, largely owing to the cessation during the war period of the normal flow of migration to the Dominions, has in the last census period increased by over a million and three quarter souls.
   4. No Government with any sense of responsibility could continue to sit with tied hands watching the unequal struggle of our industries or content itself with palliatives which, valuable as they are to mitigate the hardship to individuals, must inevitably add to the burden of rates and taxes and thereby still further weaken our whole economic structure. Drastic measures have become necessary for dealing with present conditions as long as they continue.
   5. The present Government hold themselves pledged by Mr Bonar Law not to make any fundamental change in the fiscal system of the country without consulting the electorate. Convinced, as I am, that only by such a change can a remedy be found, and that no partial measures such as the extension of the Safeguarding of Industries Act, can meet the situation, I am in honour bound to ask the people to release us from this pledge without further prejudicing the situation by any delay. That is the reason, and the only reason, which has made this election necessary.
   6. What we propose to do for the assistance of employment in industry, if the nation approves, is to impose duties on imported manufactured goods, with the following objects:-
          * to raise revenue by methods less unfair to our own home production which at present bears the whole burden of local and national taxation, including the cost of relieving unemployment.
          * to give special assistance to industries which are suffering under unfair foreign competition;
          * to utilise these duties in order to negotiate for a reduction of foreign tariffs in those directions which would most benefit our export trade;
          * to give substantial preference to the Empire on the whole range of our duties with a view to promoting the continued extension of the principle of mutual preference which has already done so much for the expansion of our trade, and the development, in co-operation with the other Governments of the Empire, of the boundless resources of our common heritage.
   7. Such a policy will defend our industries during the present emergency and will enable us, as more normal conditions return, to work effectively to secure a greater measure of real Free Trade both within the Empire and with foreign countries. Trade which is subject to the arbitrary interference of every foreign tariff, and at the mercy of every disturbance arising from the distractions of Europe, is in no sense free, and is certainly not fair to our own people.
   8. It is not our intention, in any circumstances, to impose any duties on wheat, flour, oats, meat (including bacon and ham), cheese, butter or eggs.
   9. While assisting the manufacturing industries of the country we propose also to give a direct measure of support to agriculture. Agriculture is not only, in itself, the greatest and most important of our national industries, but is of especial value as supplying the most stable and essentially complementary home market for our manufacturers.
  10. We propose to afford this assistance by a bounty of £1 an acre on all holdings of arable land exceeding one acre. The main object of that bounty is to maintain employment on the land and so keep up the wages of agricultural labour. In order to make sure of this we shall decline to pay the bounty to any employer who pays less than 30/- a week to an able-bodied labourer.
  11. The exclusion from any import duties of the essential foodstuffs which I have mentioned, as well as of raw materials, undoubtedly imposes a certain limitation upon the fullest extension of Imperial Preference. But even the preferences agreed to at the recent Economic Conference within our existing fiscal system, have been acknowledged as of the greatest value by the Dominion representatives, and our present proposals will offer a much wider field, the value of which will be progressively enhanced by the increasing range and variety of Empire production.
  12. Moreover in the field of Empire development, as well as in that of home agriculture, we are not confined to the assistance furnished by duties. We have already given an earnest of our desire to promote a better distribution of the population of the Empire through the Empire Settlement Act, and at the Economic Conference we have undertaken to co-operate effectively with the Government of any part of the Empire in schemes of economic development. More especially do we intend to devote our attention to the development of cottom growing within the Empire, in order to keep down the cost of a raw material essential to our greatest exporting industry.
  13. These measures constitute a single comprehensive and inter-dependent policy. Without additional revenue we cannot assist agriculture at home, but the income derived from the tariff will provide for this and leave us with means which can be devoted to cotton growing and other development in the Empire, and to the reduction of the duties on tea and sugar which fall so directly upon the working class household.
  14. For the present emergency, and pending the introduction of our more extended proposals, we are making, and shall continue to make, every effort to increase the volume of work for our people. The Government are spending very large sums on every measure of emergency relief that can help in this direction. Further, the local Authorities of all kinds throughout the country, and great individual enterprises, such as the railways, with the assistance of the Government, or on its invitation, are co-operating wholeheartedly in the national endeavour to increase the volume of employment. This great combined effort of the Government, of the Local Authorities, and of individual enterprises, represents an expenditure of no less than £100 millions sterling.
  15. The position of shipbuilding, one of the hardest hit of all our industries, is peculiar. It can only recover as shipping revives with the development of Empire and foreign trade which we believe will follow from our measures. We propose in the meantime to give it special assistance by accelerating the programme of light cruiser construction which will in any case become necessary in the near future. We are informed by our Naval advisers that some light cruisers will be required during the next few years in replacement of the County class, as well as a variety of smaller and auxiliary craft, and we intend that a substantial proportion of these shall be laid down as soon as the designs are ready and Parliamentary sanction secured.
  16. The solution of the unemployment problem is the key to every necessary social reform. But I should like to repeat my convictino that we should aim aim at the reorganisatino of our various schemes of insurance against old age, ill-health and unemployment. More particularly should we devote our attention to investigating the possibilities of getting rid of the inconsistencies and the discouragement of thrift at present associated with the working of the Old Age Pensions Act. The encouragement of thrift and independence must be the underlying principle of all our social reforms.
","Con",1923
"1924 Conservative Party General Election Manifesto
Stanley Baldwin's Election Address

The Socialist minority Government have forced a rush election upon the country not upon any great issue of principle, such as was submitted to you a year ago, but on the plea that it was incompatible with their dignity to tolerate any inquiry into their conduct in connection with the withdrawal of the Campbell prosecution.
The Campbell Case

The admissions already extorted from Ministers in Parliament are sufficient to convince any reasonable person that it was as a result of undue political pressue that the Attorney-General withdrew a prosecution instituted on the grave charge of inciting the troops to sedition and mutiny. The refusal to allow any inquiry inevitably suggests that the result of such investigation would only have been to emphasise the conclusions that the course of justice had been deflected by partisan considerations and to increase the public anxiety.
The Russian Treaty

There are, however, other considerations which may well have influenced the Government in their decision to precipitate an election. Under pressure from the same extremist section which reversed the considered action of the Attorney-General in the Campbell case - and, indeed, at the same moment - the Government, going back upon its own better judgement and upon the assurances given by the Prime Minister in Parliament, hurriedly patched up a makeshift Treaty with the Soviets which they now realise to be no less indefensible and no less incapable of standing close scrutiny. Under that Treaty the rightful claims of British subjects are whittled down to an undefined extent, and Parliament is to be asked to commit itself in the eyes of Russia and of the world, to the principle of guaranteeing that the British taxpayer shall repay a Bolshevik loan, if the Bolsheviks, in accordance with their principles and their practice, should fail to repay that loan.
Unemployment

By dissolving Parliament the Government are, no doubt, also hoping to obscure their utter failure to deal with unemployment, or to make good the boast that they possessed the only positive remedy for that most serious of all problems of the day. The unemployment situation is as grave, if not graver, than it was a year ago, and more economic policy of the present Government, as distinguished from the measures initiated by ourselves and carried on by our successors, has had time to take effect, unemployment has steadily increased. At the end of September the unemployment figure was 180,000 higher than at the end of June, and is, I fear, still rising. In this disquieting situation the Government have no remedy whatsoever to propose, beyond mere palliatives or an increase of doles.

The folly committed by the Government of choosing such a time in order to abolish the McKenna duties and Part 2 of the Safeguarding of Industries Act, under which certain industries were rapidly expanding and giving increasing employment, and the even greater folloy of wrecking the hopes of the rapid expansion of Imperial trade which would have followed on the adoption of the proposals of the Imperial Economic Conference, are now only too clearly evident.
Safeguarding of industry

The Unionist Party would be unfaithful to its principles and to its duty if it did not treat the task of grappling with the unemployment of our people and with the serious condition of industry as a primary obligation. While a general tariff is no part of our programme, we are determined to safeguard the employment and standard of living of our people in any efficient industry in which they are imperilled by unfair foreign compeition, by applying the principle of the Safeguarding of Industries Act or by analogous measures. Without such provision the carrying out of the policy embodied in the Dawes Report, in itself desirable as calculated to secure German reparations and to restore stable economic conditions in Europe, might only prove disastrous to ourselves.
Economy

The burden of taxation weighs heavily upon industry and trade, diminishes real wages, and in a variety of ways adds to the cost of living. To assist in relieving the community of this burden, the most rigid economy in administration is essential.
Juvenile Unemployment

Pending the restoration of trade, our duty will be to continue to take all the special relief measures in our power to ease the situation. More particularly do I feel that the grave problem of juvenile unemployement requires fuller and more careful consideration than it has received from the present Government.
Imperial Preference

The best hope of industrial revival lies, however, in my opinion, in the development of the resources and trade of the British Empire. The policy of encouraging mutual trade in the Empire by measures of Imperial Preference, and of using our finance to promote Empire Development and Empire Settlement, is one of which we adhere, and which we shall steadily keep the front.
Imperial Unity

To strengthen and develop the Empire by every possible means is, indeed, the first and dominant item in our policy, believing, as we do, that only through the fullest co-operation of the partner states of the British Commonwealth can the common peace, security and prosperity of each and all of us be assured.

We favour the progressive grant of constitutional liberties in every part of the Empire where the capacity and loyalty of the people will make such measures a benefit to themselves and a strngth to the Empire. But we are no less determined to maintain the authority and the unity of the Empire against factious and misguided agitation wherever it may asset itself.
Imperial Foreign Policy

The same principles must underly our policy in relation to the outside world. The foreign policy of this country must be such as will comment itself to the Dominions and must be carried on in closest consultation with their Governments. We stand for the maintenance of the most friendly relations with our Allies, for the re-establishment of a settled state of affairs in Europe and for co-operation in all matters admitting common action with the United States of America. The support and strngthening of the League of Nations on practical fines should, in our opinion, continue to be a cardinal principle of British foreign policy, subject always to the overriding consideration that we cannot enter into any commitments involving issues of peace and war without the concurrence of the Dominions which would inevitably be affected by them.
Imperial Defence

The maintenance of our security at sea, on land and in the air is one of the first duties of any Government, and the Unionist Party, if returned to power, will have to examine afresh the position in which the defences of the Empire have been left by the present Administration. While in favour of any practical proposals for a general limitation of armaments, we shall have to scrutinise carefully in conjunction with the Dominions, the far-reaching commitments and implications of the scheme recently put forward at Geneva.
Agriculture

I regard it as vital that the great basic industry of agriculture should be not merely preserved, but restored to a more prosperous condition as an essential balancing element in the economic and social life of the country. For a permanent solution of the agricultural problem, a common agreement between all parties is desirable; and the Unionist Party, if returned to power, will summon a representative Conference in the hope of arriving at an agreed policy by which the arable acreage may be maintained and regular employment and adequate wages secured to the agricultural worker. The Act for the regulation of wages, passed in the last session of Parliament, will be maintained. Unionists can justly claim to have been instrumental in passing this Act in a form more generally acceptable to all agriculturists.

    * We shall continue to agricultural ratepayers the relief already given during our previous tenure of office.
    * We shall support the provision of agricultural credit for all forms of efficient, co-operative enterprise.
    * The interests of the Fishing Industry will not be neglected, and with that object in view the provisino of further and extended credit facilities in this direction will be the subject of enquiry.
    * The interests of the Fishing Industry will not be neglected, and with that object in view the provision of further and extended credit facilities in this direction will be the subject of enquiry.
    * We shall promote the provision of small and cottage holdings by affording facilities for occupation and ownership, and will encourage the allotment movement with reasonable security for holders.
    * We shall seek to make available on easy terms to all cultivators the results of the latest agricultural scientific research.
    * We shall take all practical steps to ensure that imported foreign foodstuffs should be sold as such.
    * The further development of the sugar beet industry and rural industries generally will receive particular consideration.
    * Afforestation and land drainage will be developed and improved rural transport promoted.
    * We are opposed to land nationalisation, the taxation of land values, and all schemes of spoliation.

In short, the purpose of our Party is to protect agriculturists from Socialistic and bureaucratic tyranny, and to secure for them the just reward due to all investment in the soil, whether it be of money, muscle, or brains.
Cost of Foodstuffs

The problem of the cost of foodstuffs is one which demands careful investigation by a Royal Commission. The importance of any feasible reduction in those costs in its effects, both directly upon the cost of living, and indirectly upon our industrial position, is obvious.
Housing

Next to the problem of unemployment, the gravest of our domestic problems still is the housing problem. The Unionist Act of 1923, under which no less than 161,441 houses have been authorised by the Ministry of Health, has demonstrated that it will produce all the houses for which labour and materials are available with present methods of construction, and the best tribute to its success is that the present Government by the first section of their own Housing Act have prolonged its operation unchanged until the year 1939.

Something more, however, is required if the rate of building is to be materially increased, and houses are to be produced capable of being let at a rent approaching that which can be afforded by the poorer classes. This end can only be achieved by the employment of new materials and new methods of construction. The Unionist Party, which was the first to recognise the importance of this aspect of the problem, will, if returned to power, do everything possible to foster and develop the various experiments which are not being carried out in these directions, and will not hesitate, if it be necessary, to lend financial aid to bring them to early fruition, recognising that, in this way, and in this way alone, can the provision of the housing accommodation so sorely needed be secured in a reasonable time.
Slum Improvement

The Unionist Party is, moreover, determined that side by side with the provision of new houses, the improvement of the slums shall be taken in hand. The conditions in large cities are such that new houses can only be built at a considerable distance from the factories and other places of business at which the occupants work. For many of them, migration into the suburbs would be difficult, if not impossible, on account of the expense and time that would be taken up in travelling to and from their work. It is, therefore, urgently necessary that without waiting until the whole population is rehoused, the standard of existing houses should be made to approximate more nearly to modern ideas, and as soon as the present shortage of accommodation has been sufficiently eased, steps will be taken to carry out this reform.
Insurance for Old Age and Widows' Pensions

Soon after the resignation of the late Government in the early part of the year, I appointed a Committee to investigate a comprehensive scheme of Insurance to cover both Old Age and Widows' Pensions. The three principal defects in the present Old Age Pension scheme are:

First: 	That it involves an investigation into the means of the applicant.
Second: 	That the pensino is reduced where the means exceed a certain annual sum, even though those means result from his own thrift; and
Third: 	That the pension itself is inadequate in amount.

Most of the proposals for Widow's Pensions also include investigation and supervision of a kind that would be a constant source of irritation and annoyance to the widow. The Committee have come to the conclusion that the only way of avoiding such investigation is, whilst conserving the present rights of old age pensioners, to supplement them by a contributory scheme which would enable the contributor to receive his old age pension at an earlier age and a substantially larger amount. In the same system, provision should be made for the widow with dependent children to receive her pension as a right, for which payment has been made, instead of a dole or a charity. Accordingly, they have caused exhaustive actuarial investigation to be made, and although their labours are not yet completed, they are satisfied that it will be possible to frame a workable scheme. It will be the task of a Unionist Government, returned with an adequate majority, to complete the details of the scheme, and to carry it into operation as soon as practicable.
Education

Believing that the object of any Education Policy should be the welfare of the child rather than the forwarding of some plan of educational progress, based on social theories, and keeping in mind that our immediate aim should be to develop our existing national system on practical lines, and to link up elementary education more closely with the various forms of advanced study, so taht no child which can profit thereby shall be debarred from doing so by reason of the inability of the parents to pay fees, we are in favour of the carrying out of agreed schemes as between local Education Authorities and the Board of Education which shall ensure, among other matters:

   1. A progressive Reduction in the size of classes.
   2. The improvement, or when necessary, the replacement of insanitary schools.
   3. The development of Central Schools and other forms of education above the Elementary School stage, with an adequate supply in the number of Secondary School places, and a corresponding increase in the number of scholarships and free places, applicable to all advanced courses.
   4. The maintenance, by agreement between Local Education Authroties and the Teachers, of such scales of salaries as will secure efficient teachers and attract the best men and women to the profession. Such scales, when they have been accepted by Local Education Authorities, to be obligatory.
   5. The systematic promotion of schemes of adult education under the Local Education Authorities and the further development of all kinds of technical education.
   6. The maintenance of the rights of parents to have their children brought up in the religion to which they are attached.

Women and Children

In addition to such questions as Housing and Widows' Pensions, there are certain other reforms affecting women and children that I desire to see carried out. The Probationary system for dealing with offenders should be developed; a Bill to amend the consolidate the Factory and Workshop Acts should be passed; children born out of wedlock whose parents have subsequently married should be legitimised, the law relating to separation and maintenance orders should be amended; equal rights should be ensured to women in the guardianship of children; adoption should be legalised, the number of women police should be increased, and the penalties for criminal assaults against women and children made adequate to the offence.
Ex-service Men

The Unionist Party, will not cease to safeguard and further the interest of those who sacriced so much for their country in the Great War, or that of their dependants. The proposals of the present Government for carrying out the recommendatino of the Southborough Committee with regard to the position of Temporary ex-Service Civil Servants will be carefully examined, if we are returned to power, and our conclusions will be presented to Parliament before any action is taken to put them into effect.
A Broad and National Policy

In conclusion, I would appeal to you to help to secure for the country, in this difficult and anxious time, a strong and stable Government, based on an independent majority in Parliament, resolved to maintain the existing constitutional and economic liberties under which Britian has grown great and prosperious, and empowered to solve on practical and commonsense lines the urgent industrial and social problems of the day. The experiment of a minority Government has proved a short-lived failure. But it has afforded sufficient indication of what would be the character of a Socialist Government dependent, not upon other Parties, but upon the extremist section of its own majority, to make it imperative upon all who wish to see the restoration of prosperity and social peace, to unite their efforts in averting such a possibility. The only way in which that can be achieved lies in the return of a solid Unionist majority. I appeal, therefore, to all men and women who desire stable Government to support the broad and national policy that I have outlined and to ensure the return of a House of Commons that will have the will and power to carry it into effect.","Con",1924
